Date,Adj_Close,Open,adx,aroondown,aroonup,aroonosc,bop,cci,cmo,dx,mfi,minus_di,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr
2009-01-02,12.13365077972412,18.59000015258789,,,,,0.5434770890605499,,,,,,,,,,,,,,,,
2009-01-05,12.017723083496096,18.81999969482422,,,,,-0.3018871998618069,,,,,,,,,,,,,,,,
2009-01-06,11.86315631866455,18.739999771118164,,,,,-0.470587575312188,,,,,,,,,,,,,,,,
2009-01-07,11.740788459777832,18.299999237060547,,,,,-0.24137908354872997,,,,,,,,,,,,,,,,
2009-01-08,11.895356178283693,18.15999984741211,,,,,1.0,,,,,,,,,,,,,,,,
2009-01-09,11.747230529785154,18.5,,,,,-0.7027017274353436,,,,,,,,,,,,,,,,
2009-01-12,11.82451343536377,18.280000686645508,,,,,0.31999969482420454,,,,,,,,,,,,,,,,
2009-01-13,11.644183158874512,18.38999938964844,,,,,-0.7209284789127398,,,,,,,,,,,,,,,,
2009-01-14,11.573339462280273,18.030000686645508,,,,,-0.14634418656581022,,,,,,,,,,,,,,,,
2009-01-15,11.65062427520752,17.920000076293945,,,,,0.4857139743107667,,,,,,,,,,,,,,,,
2009-01-16,11.772990226745605,18.26000022888184,,,,,0.052632899828830335,,,,,,,,,,,,,,,,
2009-01-20,11.579777717590332,18.34000015258789,,,,,-0.6206907891491542,,,,,,,,,,,,,,,,
2009-01-21,11.792309761047365,18.229999542236328,,,,,0.2162155195966857,,,,,,,,-2.813167103784242,,,,,,,,
2009-01-22,11.87603759765625,18.209999084472656,,,,,0.36508215233982777,3.832904256358295,,,,,,,-1.1789888271891202,,,,56.589219495750335,41.343699051156335,,,-43.41078050424967
2009-01-23,11.837395668029785,18.149999618530273,,57.142857142857146,14.285714285714286,-42.85714285714286,0.5609747020348161,2.0740768090740938,-16.911758002955118,15.909127854113631,40.070781947368616,16.769955031255236,12.16642874062916,,-0.2171602354053448,41.544120998522445,,,77.90693032416033,60.33592476278909,,,-48.062046450559784
2009-01-26,11.998400688171387,18.450000762939453,,50.0,7.142857142857143,-42.85714285714286,0.47367866285198457,167.09580852151444,-6.381902042316094,5.306501380053701,46.34436638340942,15.609182536148575,17.35861940091207,,2.194183371225722,46.80904897884196,73.7628324677197,58.480818760555046,86.79234758324846,73.7628324677197,,,-28.68221524340117
2009-01-27,12.030606269836426,18.690000534057614,,42.85714285714286,0.0,-42.85714285714286,-0.02941242468780129,174.20338238925424,-4.357427941460181,5.306501380053693,52.950282571311206,14.656716203282944,16.299403101396845,,1.136984296850807,47.82128602926991,85.40290282487011,73.16722001845964,91.50943056720156,85.40290282487011,,,-8.490569432798436
2009-01-28,12.037044525146484,18.940000534057614,,35.714285714285715,100.0,64.28571428571429,-0.5681811285421418,170.39257170725094,-3.9314314110153354,14.873318633738036,59.34423845102743,13.50798402299861,18.228209156857204,,2.4671094768980995,48.03428429449233,85.99219961737877,81.7193116366562,79.67482070168631,85.99219961737877,,,-20.325179298313685
2009-01-29,12.069246292114258,18.989999771118164,,28.571428571428573,100.0,71.42857142857143,-0.43859672605105005,149.19748870378933,-1.6961846421093316,21.07505888475451,59.27249145631382,12.176569849178247,18.67950600496304,,2.069712135806556,49.151907678945335,82.30652062869439,84.56720769031443,75.73531061719531,82.30652062869439,,,-24.2646893828047
2009-01-30,11.888917922973633,18.75,,21.42857142857143,92.85714285714286,71.42857142857143,-0.5800018310546875,61.78522628695348,-12.982808033317228,10.413208068406783,58.965223187807005,13.865129580974017,17.08838327962974,,2.101765278595824,43.50859598334138,70.18572179769622,79.49481401458979,55.14703407420705,70.18572179769622,,,-44.85296592579295
2009-02-02,11.82451343536377,18.270000457763672,,14.285714285714286,85.71428571428572,71.42857142857143,0.1999999999999921,-22.869242998353062,-16.662837769671864,8.105534530961279,59.03941098958141,18.538413723554186,15.758468122480828,,2.170291106840705,41.668581115164066,59.031507608748626,70.50791667837974,46.212178134843526,59.031507608748626,,,-52.20579160542611
2009-02-03,11.888917922973633,18.350000381469727,,7.142857142857143,78.57142857142857,71.42857142857143,0.27499701976491664,15.801319931658522,-11.580995530343827,0.6218659354751928,65.16665708422777,17.279106933860362,17.065529340209068,,2.045322989297138,44.209502234828086,49.28345269706102,59.500227367835286,46.491145882132486,49.28345269706102,,,-44.85296592579295
2009-02-04,12.04992389678955,18.600000381469727,,0.0,71.42857142857143,71.42857142857143,0.35483513711399195,91.69160632952328,0.13147707177838694,11.615179540738465,72.1239016327547,16.12870493122768,20.367844696684383,,2.3522887400178494,50.065738535889196,53.70810206722033,54.00768745767666,68.42098218468499,53.70810206722033,,,-27.27277981677889
2009-02-05,12.159409523010256,18.690000534057614,,0.0,64.28571428571429,64.28571428571429,0.404252987845715,106.3661124417567,7.260300096044382,17.43760059340065,72.18486962766619,14.8459269097633,21.1169981419925,,5.005559741067334,53.630150048022195,66.03263634179585,56.34139703535906,83.18578095857005,66.03263634179585,,,-16.666722437124385
2009-02-06,12.25601291656494,18.88999938964844,,7.142857142857143,100.0,92.85714285714286,0.3043512513890424,130.7733228573406,13.151233400267257,22.90683436837368,71.68601000785432,13.697660065439916,21.837682018944943,,3.9322842255804735,56.57561670013362,81.06784010875806,66.93619283925807,91.59675718301915,81.06784010875806,,,-8.333214123930096
2009-02-09,12.114328384399414,19.020000457763672,,0.0,92.85714285714286,92.85714285714286,-0.5526326356472325,86.6003962030548,2.8338706670759963,21.66685364057491,74.008494780751,13.154657637375106,20.431782455343907,0.992294164480298,2.006501741696831,51.41693533353801,82.15465334857751,76.41837659971047,71.68142190414332,82.15465334857751,,,-26.890761690136856
