Date,Adj_Close,Open,adx,aroondown,aroonup,aroonosc,bop,cci,cmo,dx,mfi,minus_di,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr
2009-01-02,14.332759857177734,18.149999618530273,,,,,0.0,,,,,,,,,,,,,,,,
2009-01-05,14.86185073852539,18.200000762939453,,,,,0.5636351971590919,,,,,,,,,,,,,,,,
2009-01-06,15.327760696411133,18.920000076293945,,,,,0.5268823820159274,,,,,,,,,,,,,,,,
2009-01-07,14.672324180603027,19.209999084472656,,,,,-0.5575208542213179,,,,,,,,,,,,,,,,
2009-01-08,14.214310646057127,18.559999465942386,,,,,-0.41791000162267333,,,,,,,,,,,,,,,,
2009-01-09,14.05637264251709,18.059999465942386,,,,,-0.4406796646935847,,,,,,,,,,,,,,,,
2009-01-12,13.97740364074707,17.770000457763672,,,,,-0.1060601681935098,,,,,,,,,,,,,,,,
2009-01-13,14.222203254699707,17.559999465942386,,,,,0.6923092723607398,,,,,,,,,,,,,,,,
2009-01-14,13.882644653320312,17.549999237060547,,,,,0.043479222355214606,,,,,,,,,,,,,,,,
2009-01-15,14.277485847473145,17.520000457763672,,,,,0.3684210526315766,,,,,,,,,,,,,,,,
2009-01-16,14.293275833129885,18.270000457763672,,,,,-0.19318208911228008,,,,,,,,,,,,,,,,
2009-01-20,13.282479286193848,17.799999237060547,,,,,-0.6621612043090548,,,,,,,,,,,,,,,,
2009-01-21,14.522282600402832,17.120000839233402,,,,,0.7383715450084556,,,,,,,,1.3223128163217135,,,,,,,,
2009-01-22,12.82446575164795,17.40999984741211,,,,,-0.5441861785509293,-228.28285106978063,,,,,,,-13.708820220733553,,,,17.966910428553778,25.721418228198498,,,-82.03308957144621
2009-01-23,12.706011772155762,15.800000190734865,,92.85714285714286,14.285714285714286,-78.57142857142857,0.34939757651800624,-210.14312395089118,-21.961616740422237,27.554304067346436,37.66310976550276,24.963911054221427,14.178493801111278,,-17.104583827530874,39.019191629788885,,,15.099021587027009,29.639593884022762,,,-85.57918022778163
2009-01-26,12.319069862365724,16.030000686645508,,100.0,7.142857142857143,-92.85714285714286,-0.4134622262080956,-181.56883025903124,-26.118007406288875,32.4081990660753,30.8117426384524,25.88317721818819,13.212856714380864,,-16.038748947647573,36.940996296855566,15.703625980924897,23.688212697715386,14.044945927193918,15.703625980924897,,,-89.15400996372728
2009-01-27,12.240100860595705,15.630000114440918,,92.85714285714286,0.0,-92.85714285714286,-0.15662665830190803,-144.20829799637514,-26.97284369423888,32.4081990660753,24.785453023960574,24.451892208490282,12.482213656491872,,-13.888888888888884,36.51357815288056,13.579387733873766,19.640869199607142,11.594195687400383,13.579387733873766,,,-90.95023503108935
2009-01-28,13.345658302307127,16.129999160766598,,85.71428571428572,0.0,-85.71428571428572,0.8105261467171582,-45.367072727250424,-8.11318031314665,11.050947672326107,31.66436211770092,22.147732067798902,17.739783585195596,,-5.05617784890926,45.94340984342667,25.937683283546324,18.406898999448327,52.173908236044696,25.937683283546324,,,-49.43821609298861
2009-01-29,12.469108581542967,16.639999389648438,,78.57142857142857,0.0,-78.57142857142857,-0.7327576213734698,-72.49318009314611,-18.455065022433487,15.498933288276936,30.987457488174286,22.368719813341176,16.36535188152111,,-10.790964512756496,40.772467488783256,27.922699464965486,22.479923494128524,19.999994471451405,27.922699464965486,,,-80.0000055285486
2009-01-30,12.0584716796875,15.970000267028807,,100.0,28.571428571428573,-71.42857142857143,-0.7216490892412767,-104.83294570824795,-22.83656479589035,24.206498436391264,30.374284934425113,25.124195222478672,15.331329309267621,,-15.213768663501448,38.58171760205482,26.063699272161376,26.641360673557728,6.017195108988069,26.063699272161376,,,-93.98280489101192
2009-02-02,11.87684440612793,15.100000381469727,,100.0,21.42857142857143,-78.57142857142857,-0.06383026212866302,-118.13407296293741,-24.762193083301824,30.805442417385542,28.781153212003456,27.189496394433625,14.38292733954983,,-14.4482364782489,37.61890345834909,13.04533269089175,22.343910476006204,13.118808492235814,13.04533269089175,,,-86.88119150776419
